entry!census!person
84!1841 UK Census!I37
85!1841 UK Census!I212
86!1841 UK Census!I229
87!1841 UK Census!I120
88!1841 UK Census!I879
89!1841 UK Census!I440
90!1841 UK Census!I105
91!1841 UK Census!I69
92!1841 UK Census!I1162
93!1841 UK Census!I456
94!1851 Canadian Census!I1205
95!1851 Canadian Census!I1185
96!1851 UK Census!I400
97!1851 UK Census!I154
98!1851 UK Census!I455
99!1851 UK Census!I351
100!1851 UK Census!I162
101!1851 UK Census!I485
102!1851 UK Census!I214
103!1851 UK Census!I616
104!1851 UK Census!I85
105!1851 UK Census!I84
106!1851 UK Census!I807
107!1851 UK Census!I1155
108!1851 UK Census!I600
109!1851 UK Census!I382
110!1851 UK Census!I163
111!1851 UK Census!I81
112!1851 UK Census!I169
113!1851 UK Census!I241
114!1851 UK Census!I208
115!1851 UK Census!I158
116!1851 UK Census!I174
117!1851 UK Census!I58
118!1851 UK Census!I77
119!1851 UK Census!I59
120!1851 UK Census!I443
121!1851 UK Census!I83
122!1851 UK Census!I928
123!1851 UK Census!I604
124!1851 UK Census!I860
125!1851 UK Census!I464
126!1851 UK Census!I153
127!1851 UK Census!I210
128!1851 UK Census!I782
129!1851 UK Census!I445
130!1851 UK Census!I49
131!1851 UK Census!I66
132!1851 UK Census!I242
133!1851 UK Census!I243
134!1851 UK Census!I62
135!1851 UK Census!I11
136!1851 UK Census!I149
137!1851 UK Census!I104
138!1851 UK Census!I217
139!1851 UK Census!I90
140!1851 UK Census!I747
141!1851 UK Census!I123
142!1851 UK Census!I99
143!1851 UK Census!I168
144!1851 UK Census!I201
145!1851 UK Census!I200
146!1851 UK Census!I215
147!1851 UK Census!I179
148!1851 UK Census!I87
149!1851 UK Census!I89
150!1851 UK Census!I483
151!1851 UK Census!I173
152!1851 UK Census!I60
153!1851 UK Census!I1168
154!1851 UK Census!I520
155!1851 UK Census!I98
156!1851 UK Census!I73
157!1851 UK Census!I1337
158!1851 UK Census!I213
159!1851 UK Census!I36
160!1851 UK Census!I185
161!1851 UK Census!I536
162!1851 UK Census!I126
163!1851 UK Census!I247
164!1851 UK Census!I48
165!1851 UK Census!I462
166!1851 UK Census!I82
167!1851 UK Census!I166
168!1851 UK Census!I183
169!1851 UK Census!I470
170!1851 UK Census!I159
171!1851 UK Census!I231
172!1851 UK Census!I176
173!1851 UK Census!I569
174!1851 UK Census!I352
175!1851 UK Census!I88
176!1851 UK Census!I37
177!1851 UK Census!I212
178!1851 UK Census!I402
179!1851 UK Census!I127
180!1851 UK Census!I120
181!1851 UK Census!I606
182!1851 UK Census!I879
183!1851 UK Census!I473
184!1851 UK Census!I69
185!1851 UK Census!I1162
186!1851 UK Census!I1167
187!1851 UK Census!I456
188!1860 US Census!I1367
189!1861 Canadian Census!I1189
190!1861 Canadian Census!I1205
191!1861 Canadian Census!I1199
192!1861 Canadian Census!I1185
193!1861 Canadian Census!I1188
194!1861 Canadian Census!I398
195!1861 Canadian Census!I1191
196!1861 Canadian Census!I1187
197!1861 Canadian Census!I1192
198!1861 Canadian Census!I1214
199!1861 Canadian Census!I1190
200!1861 Canadian Census!I1194
201!1861 Canadian Census!I1183
202!1861 Canadian Census!I1184
203!1861 Canadian Census!I1186
204!1861 UK Census!I65
205!1861 UK Census!I400
206!1861 UK Census!I863
207!1861 UK Census!I154
208!1861 UK Census!I182
209!1861 UK Census!I216
210!1861 UK Census!I351
211!1861 UK Census!I162
212!1861 UK Census!I245
213!1861 UK Census!I333
214!1861 UK Census!I485
215!1861 UK Census!I95
216!1861 UK Census!I616
217!1861 UK Census!I85
218!1861 UK Census!I67
219!1861 UK Census!I84
220!1861 UK Census!I600
221!1861 UK Census!I81
222!1861 UK Census!I169
223!1861 UK Census!I76
224!1861 UK Census!I241
225!1861 UK Census!I140
226!1861 UK Census!I187
227!1861 UK Census!I174
228!1861 UK Census!I342
229!1861 UK Census!I21
230!1861 UK Census!I796
231!1861 UK Census!I72
232!1861 UK Census!I58
233!1861 UK Census!I1166
234!1861 UK Census!I77
235!1861 UK Census!I59
236!1861 UK Census!I443
237!1861 UK Census!I83
238!1861 UK Census!I928
239!1861 UK Census!I102
240!1861 UK Census!I604
241!1861 UK Census!I860
242!1861 UK Census!I464
243!1861 UK Census!I153
244!1861 UK Census!I210
245!1861 UK Census!I782
246!1861 UK Census!I468
247!1861 UK Census!I49
248!1861 UK Census!I66
249!1861 UK Census!I242
250!1861 UK Census!I601
251!1861 UK Census!I11
252!1861 UK Census!I149
253!1861 UK Census!I104
254!1861 UK Census!I747
255!1861 UK Census!I123
256!1861 UK Census!I22
257!1861 UK Census!I99
258!1861 UK Census!I168
259!1861 UK Census!I139
260!1861 UK Census!I31
261!1861 UK Census!I87
262!1861 UK Census!I349
263!1861 UK Census!I89
264!1861 UK Census!I483
265!1861 UK Census!I60
266!1861 UK Census!I1165
267!1861 UK Census!I1168
268!1861 UK Census!I520
269!1861 UK Census!I98
270!1861 UK Census!I73
271!1861 UK Census!I36
272!1861 UK Census!I185
273!1861 UK Census!I79
274!1861 UK Census!I126
275!1861 UK Census!I247
276!1861 UK Census!I48
277!1861 UK Census!I246
278!1861 UK Census!I462
279!1861 UK Census!I82
280!1861 UK Census!I166
281!1861 UK Census!I30
282!1861 UK Census!I183
283!1861 UK Census!I1156
284!1861 UK Census!I470
285!1861 UK Census!I463
286!1861 UK Census!I231
287!1861 UK Census!I352
288!1861 UK Census!I177
289!1861 UK Census!I88
290!1861 UK Census!I37
291!1861 UK Census!I883
292!1861 UK Census!I402
293!1861 UK Census!I120
294!1861 UK Census!I606
295!1861 UK Census!I746
296!1861 UK Census!I105
297!1861 UK Census!I482
298!1861 UK Census!I473
299!1861 UK Census!I69
300!1861 UK Census!I1167
301!1861 UK Census!I1161
302!1861 UK Census!I456
303!1870 US Census!I1367
304!1871 Canadian Census!I1195
305!1871 Canadian Census!I1205
306!1871 Canadian Census!I1196
307!1871 Canadian Census!I1188
308!1871 Canadian Census!I398
309!1871 Canadian Census!I1198
310!1871 Canadian Census!I1214
311!1871 Canadian Census!I1190
312!1871 Canadian Census!I1194
313!1871 Canadian Census!I1197
314!1871 Canadian Census!I1186
315!1871 UK Census!I116
316!1871 UK Census!I65
317!1871 UK Census!I339
318!1871 UK Census!I878
319!1871 UK Census!I154
320!1871 UK Census!I182
321!1871 UK Census!I202
322!1871 UK Census!I245
323!1871 UK Census!I333
324!1871 UK Census!I616
325!1871 UK Census!I85
326!1871 UK Census!I12
327!1871 UK Census!I67
328!1871 UK Census!I84
329!1871 UK Census!I327
330!1871 UK Census!I144
331!1871 UK Census!I382
332!1871 UK Census!I81
333!1871 UK Census!I169
334!1871 UK Census!I76
335!1871 UK Census!I155
336!1871 UK Census!I241
337!1871 UK Census!I208
338!1871 UK Census!I43
339!1871 UK Census!I187
340!1871 UK Census!I158
341!1871 UK Census!I174
342!1871 UK Census!I342
343!1871 UK Census!I21
344!1871 UK Census!I796
345!1871 UK Census!I72
346!1871 UK Census!I58
347!1871 UK Census!I328
348!1871 UK Census!I59
349!1871 UK Census!I443
350!1871 UK Census!I206
351!1871 UK Census!I142
352!1871 UK Census!I928
353!1871 UK Census!I102
354!1871 UK Census!I329
355!1871 UK Census!I604
356!1871 UK Census!I78
357!1871 UK Census!I860
358!1871 UK Census!I464
359!1871 UK Census!I204
360!1871 UK Census!I210
361!1871 UK Census!I44
362!1871 UK Census!I468
363!1871 UK Census!I49
364!1871 UK Census!I601
